full_text,username,created_at
jepang lebih panas kak klo musim panas,blackcat_sp_op,Thu Feb 29 23:49:13 +0000 2024
tumbang panas batuk tipes,ChoiirW,Thu Feb 29 23:48:18 +0000 2024
cat 5 sisi kiri gak panas malah angin sepot sepoy asli ngantuk,bunnychoi23,Thu Feb 29 23:47:36 +0000 2024
panas listriknya mati sejak 2 jam yg lalu ga bs tidur gerah banget ga punya paketan 137,tandukrusaa,Thu Feb 29 23:46:58 +0000 2024
ingatkan panas dah balik rumah ibu hari jaa jenuh berdiam diri,afiq_yusman96,Thu Feb 29 23:45:53 +0000 2024
seh ga panas tuh kuping,blessfriday_,Thu Feb 29 23:45:20 +0000 2024
terbaik dimananya pakdi awal pak anies megang jakarta hujan deras banjir 4 kali banjir ditempat terjadi hujan deras stlh tdk pernah banjir nga tau hujan jarang turun daerah kayu ditolong krna hujan jarang jkt tp panas bgt jkt masa pak anies,AndreSaymore,Thu Feb 29 23:44:48 +0000 2024
kalo jumat panas bgt padahal pagi,mascunggg,Thu Feb 29 23:43:24 +0000 2024
terima uang panas eks mentan pakar hukum nasdem ditetapkan tersangka korporasi,OposisiCerdas,Thu Feb 29 23:43:11 +0000 2024
panas nya sampe entah halu apa mimpi dikasih obat panas sama minum gatau beneran apa cuma halu panas nya tadi,Brsy_,Thu Feb 29 23:43:00 +0000 2024
pagipagi udah panas,solisocasum,Thu Feb 29 23:42:39 +0000 2024
baru diomongin hp saharaku laku meni panas gini kupingku n memerah gak kuat nerima panggilan hp lama2 teuing mah c kang haji bdg ngabari teh haji mendadak robah rencana yg awalnya besok mau rumahku jadinya hari sekalian dgn pesananku,wowo_ierhp,Thu Feb 29 23:42:32 +0000 2024
wkwkwwk kan dibilang panas disini malah make demim,SilYllw,Thu Feb 29 23:42:22 +0000 2024
emg perlu diakui kalo gunung kidul emg gersang bgt wilayahnya airnya gada rumah2 mostly pake pdam tanahnya tandus gatau gmn caranya kakek bersawah berkebun udaranya panas kalo siang dingin bgt kalo malem ga pernah denger warganya makan,sasolauger,Thu Feb 29 23:41:47 +0000 2024
je wei cara tak panas tepon bila charge letak kat lantai jangan men tepon,syakilanrdn,Thu Feb 29 23:41:22 +0000 2024
ga panas mungkin abis ujan,itsanatime,Thu Feb 29 23:40:22 +0000 2024
aku bekerja keras,espresoPanas,Thu Feb 29 23:39:04 +0000 2024
sebelah panas gaya bebas,rachelJgr,Thu Feb 29 23:37:05 +0000 2024
hari kayanya panas jng lupa sunscreen,_lattelogie,Thu Feb 29 23:36:07 +0000 2024
dah naik ruam dah badan ni manjang panas je,doyoufckingcare,Thu Feb 29 23:35:54 +0000 2024
gimana gak panas sumber apinya kalah pilpres 1 putaran padahal berharap 2 putaran,Marconi70456466,Thu Feb 29 23:35:41 +0000 2024
