Tweet,Aspek,Sentiment_Score,Sentiment
jepang lebih panas kak klo musim panas,jenis cuaca ekstrem,0,Netral
tumbang panas batuk tipes,jenis cuaca ekstrem,0,Netral
cat 5 sisi kiri gak panas malah angin pot sepoy asli ngantuk,jenis cuaca ekstrem,0,Netral
panas listrik mati sejak 2 jam yg lalu ga bs tidur gerah banget ga punya paket 137,jenis cuaca ekstrem,0,Netral
ingat panas dah balik rumah ibu hari jaa jenuh diam diri,jenis cuaca ekstrem,0,Netral
seh ga panas tuh kuping,jenis cuaca ekstrem,0,Netral
kalo jumat panas bgt padahal pagi,jenis cuaca ekstrem,0,Netral
terima uang panas eks tan pakar hukum nasdem tetap sangka korporasi,jenis cuaca ekstrem,0,Netral
panas nya sampe entah halu apa mimpi kasih obat panas sama minum gatau beneran apa cuma halu panas nya tadi,jenis cuaca ekstrem,0,Netral
pagipagi udah panas,jenis cuaca ekstrem,0,Netral
baru diomongin hp sahara laku meni panas gin kuping n merah gak kuat nerima panggil hp lama2 teuing mah c kang haji bdg ngabari teh haji dadak robah rencana yg awal besok mau rumah jadi hari sekali dgn pesan,jenis cuaca ekstrem,0,Netral
wkwkwwk kan bilang panas sini malah make dim,jenis cuaca ekstrem,0,Netral
emg perlu aku kalo gunung kidul emg gersang bgt wilayah air gada rumah2 mostly pake pdam tanah tandus gatau gmn cara kakek sawah kebun udara panas kalo siang dingin bgt kalo malem ga pernah denger warga makan,jenis cuaca ekstrem,0,Netral
je wei cara tak panas tepon bila charge letak kat lantai jangan men tepon,jenis cuaca ekstrem,0,Netral
ga panas mungkin abis ujan,jenis cuaca ekstrem,0,Netral
belah panas gaya bebas,jenis cuaca ekstrem,0,Netral
hari kaya panas jng lupa sunscreen,jenis cuaca ekstrem,0,Netral
dah naik ruam dah badan ni manjang panas je,jenis cuaca ekstrem,0,Netral
gimana gak panas sumber api kalah pilpres 1 putar padahal harap 2 putar,jenis cuaca ekstrem,0,Netral
air males basah tanah takut debu kotor api males panas udara ga solid ga mo yg pastipasti aja hmm jd kendali bos kantor aja deh klo,jenis cuaca ekstrem,0,Netral
kipas kecil ngaruh ga tuh lawan panas jkt,jenis cuaca ekstrem,0,Netral
indeks saham amerika serikat as wall street tutup kuat dagang kamis 292 imbas potensi the fed tunda turun suku bunga acu hingga musim panas,jenis cuaca ekstrem,0,Netral
panas soal,jenis cuaca ekstrem,0,Netral
panas kalah,jenis cuaca ekstrem,0,Netral
yela i dulu2 pena pi lis panas level nampak bahang tu lalu dpn mata tu dlm rumah tu bukan kt luar i mandi air perigi 23 kali padahal berapa jam je kt situ panas menang tk tahan hahahaha,jenis cuaca ekstrem,0,Netral
prove musim panas rok persik perancis rework pita pinggang tinggi,jenis cuaca ekstrem,0,Netral
iyaa ga bikin hp panas kaya space,jenis cuaca ekstrem,0,Netral
